Query_ID,Llama3_Vanilla_Pass,Llama3_Agentic_Pass,Mixtral_Vanilla_Pass,Mixtral_Agentic_Pass
QID_pilot_001,1,1,0,0
QID_pilot_002,1,1,0,0
QID_pilot_003,1,1,1,1
QID_pilot_004,1,1,1,1
QID_pilot_005,1,1,1,1
QID_pilot_006,0,0,1,1
QID_pilot_007,1,1,1,1
QID_pilot_008,1,1,1,1
QID_pilot_009,1,1,1,1
QID_pilot_010,1,1,1,1
QID_pilot_011,1,1,1,1
QID_pilot_012,1,1,1,1
QID_pilot_013,1,1,0,1
QID_pilot_014,1,1,1,1
QID_pilot_015,0,1,1,1
QID_pilot_016,0,1,0,0
QID_pilot_017,1,1,0,0
QID_pilot_018,1,1,1,1
QID_pilot_019,1,1,1,1
QID_pilot_020,1,1,0,1
QID_pilot_021,0,0,1,1
QID_pilot_022,1,1,1,1
QID_pilot_023,1,1,1,1
QID_pilot_024,0,0,1,1
QID_pilot_025,0,1,1,1
QID_pilot_026,1,1,0,0
QID_pilot_027,1,1,1,1
QID_pilot_028,1,1,1,1
QID_pilot_029,1,1,1,1
QID_pilot_030,0,1,1,1
QID_pilot_031,0,0,1,1
QID_pilot_032,1,1,0,0
QID_pilot_033,1,1,1,1
QID_pilot_034,0,0,0,0
QID_pilot_035,1,1,0,0
QID_pilot_036,0,0,0,0
QID_pilot_037,0,0,1,1
QID_pilot_038,1,1,1,1
QID_pilot_039,1,1,1,1
QID_pilot_040,0,1,1,1
QID_pilot_041,1,1,0,1
QID_pilot_042,1,1,1,1
QID_pilot_043,1,1,0,1
QID_pilot_044,1,1,0,1
QID_pilot_045,1,1,1,1
QID_pilot_046,1,1,0,1
QID_pilot_047,1,1,1,1
QID_pilot_048,1,1,1,1
QID_pilot_049,1,1,1,1
QID_pilot_050,0,1,0,1
